t,x,y,yaw,vx_body,vy_body,wz
4.412,2.2184016696008037e-06,8.126256454180423e-09,8.29378920102628e-09,0.0,0.0,0.0
4.432,2.21840166960037e-06,8.126263942309353e-09,8.299306273068725e-09,0.0,0.0,0.0
4.452,2.21840166960037e-06,8.12627143044265e-09,8.304823345102741e-09,0.0,0.0,0.0
4.472,2.21840166960037e-06,8.126278917951785e-09,8.310340418200992e-09,0.0,0.0,0.0
4.492,2.21840166960037e-06,8.126286406074045e-09,8.315857490274095e-09,0.0,0.0,0.0
4.5120000000000005,2.21840166960037e-06,8.12629389359027e-09,8.321374563334456e-09,0.0,0.0,0.0
4.532,2.21840166960037e-06,8.12630138170303e-09,8.326891635408291e-09,0.031578947730488215,0.0013572252469015087,0.9999999999999999
4.552,0.0006335366260008965,2.7149301426340946e-05,0.01999989676685704,0.031578950434634975,0.001357235944199201,0.9999999999999999
4.572,0.0012641751896480913,6.691187334937879e-05,0.03999978254866936,0.03157894850537891,0.001214369035050994,0.894736842105263
4.5920000000000005,0.0018940585416650324,0.00011642603454023048,0.05789441740945954,0.03157894812775741,0.0012143671266236103,0.894736842105263
4.612,0.0025229571732222284,0.00017720315395022097,0.07578905255258261,0.03157894874107349,0.001214367125355051,0.894736842105263
4.632,0.003150667609377434,0.000249223855000375,0.09368368769591426,1.5976110607373748e-09,0.0012143671227981816,0.894736842105263
4.652,0.003148179427644925,0.00027338294266352056,0.11157832283924635,1.5972472209061731e-09,0.0012143670957406234,0.894736842105263
4.672,0.0031452593492965033,0.00029749363961504053,0.12947295798257835,0.03157894887086933,0.0012143671277650607,0.894736842105263
4.692,0.0037682009898066782,0.00040309234858033573,0.14736759312591038,0.031578947841126116,0.0012143671077347006,0.894736842105263
4.712,0.00438915333368332,0.0005198208737989842,0.16526222826924244,0.03157895003498802,0.0010715004300398592,0.7894736842105262
4.732,0.0050084331470113775,0.0006448315736572355,0.18105161232831907,0.03157894726382932,0.001071498891063091,0.7894736842105262
4.752,0.005625663857404287,0.0007796045134616306,0.19684099666894536,1.2811534267275979e-09,0.0010714989091630501,0.7894736842105262
4.772,0.005621307058150012,0.0008005865896947929,0.21263038100977993,1.2671424080910702e-09,0.0010714989203919406,0.7894736842105262
4.792,0.005616619521776547,0.0008214972622210907,0.228419765350615,0.09473684246634884,0.0013572319362688406,0.9999999999999999
4.812,0.007455734863328128,0.0012769157353957547,0.24841965169440924,0.09473684093588791,0.0013572359438061808,0.9999999999999999
4.832,0.00928537071672237,0.001769022112493163,0.26841953747480624,0.09473684451727497,0.0013572359972999978,0.9999999999999999
4.852,0.01110479926530789,0.0022976200974807112,0.2884194232547978,0.09473684251799078,0.0013572359829628032,0.9999999999999999
4.872,0.012913292716220279,0.002862498346171869,0.3084193090347883,0.1894736862972055,0.0013572359945026383,0.9999999999999999
4.892,0.016515460636720054,0.004038583799825065,0.32841919481477855,0.189473688528785,0.0013572360024657476,0.9999999999999999
4.912,0.020093388162814904,0.005286472220128699,0.3484190805947691,0.5684210519365639,0.0013572359909329312,0.9999999999999999
4.932,0.030769200107619313,0.009193210253506385,0.3684189663747597,0.5684210788403494,0.0013572360230481584,0.9999999999999999
4.952,0.041364748120106,0.013312667884687358,0.38841885215474997,0.5684210551914894,0.0013572359948077206,0.9999999999999999
