t,x,y,yaw,vx_body,vy_body,wz
4.616,2.2184016696008037e-06,8.126256454180423e-09,8.29378920102628e-09,0.0,0.0,0.0
4.636,2.21840166960037e-06,8.126263942309353e-09,8.299306273068725e-09,0.0,0.0,0.0
4.656,2.21840166960037e-06,8.12627143044265e-09,8.304823345102741e-09,0.0,0.0,0.0
4.676,2.21840166960037e-06,8.126278917951785e-09,8.310340418200992e-09,0.0,0.0,0.0
4.696,2.21840166960037e-06,8.126286406074045e-09,8.315857490274095e-09,0.0,0.0,0.0
4.716,2.21840166960037e-06,8.12629389359027e-09,8.321374563334456e-09,0.0,0.0,0.0
4.736,2.21840166960037e-06,8.12630138170303e-09,8.326891635408291e-09,0.568421052993646,0.0013572252469015085,0.9999999999999999
4.756,0.011370378731264055,2.7149390830866274e-05,0.01999989676685704,0.5684210746822459,0.0013572359441992015,0.9999999999999999
4.776,0.022735712315386125,0.00028163338088681145,0.03999978254866936,0.5999999903641224,0.001357235980351111,0.9999999999999999
4.796,0.034724756990240566,0.0007886129830133262,0.05999966832866207,0.5999999729953682,0.001357235961335787,0.9999999999999999
4.816,0.04670126493247533,0.0015352547032510863,0.07999955410865252,0.5999999924219159,0.0013572359833125616,0.9999999999999999
4.836,0.05866044611913592,0.0025212599547285437,0.0999994398886429,0.600000020856515,0.0013572360154713303,0.9999999999999999
4.856,0.07059751718040663,0.003746234368337821,0.11999932566863337,0.599999982145155,0.0013572359716828158,0.9999999999999999
4.876,0.08250770283033214,0.005209687931193034,0.13999921144862387,0.6000000360096239,0.0013572360326303406,0.9999999999999999
4.896,0.09438624015788145,0.006911035169761011,0.1599990972286145,0.6000000168224668,0.0013572360109155718,0.9999999999999999
4.916,0.10622837719587369,0.008849595780016083,0.17999898300860495,0.5999999874866966,0.0013572359777317827,0.9999999999999999
4.936,0.11802937721186282,0.011024594274106167,0.1999988687885955,0.5999999720957921,0.0013572359603093859,0.9999999999999999
4.956,0.12978452013791572,0.013435160789295502,0.21999875456858597,0.6000000134805639,0.0013572360071238687,0.9999999999999999
4.976,0.14148910471555853,0.01608033109222916,0.23999864034857657,0.5684210275552966,0.0013572359618049257,0.9999999999999999
4.996,0.15252497169144222,0.01880891997538582,0.25999852612856683,0.5684210693601064,0.0013572360117444782,0.9999999999999999
5.016,0.16350406422339112,0.02175766443306835,0.27999841190855734,0.5684210557125711,0.0013572359954209245,0.9999999999999999
5.036,0.17442199022432897,0.024925385292401927,0.2999982976885478,0.5999999959475072,0.0013572359873040285,0.9999999999999999
5.056,0.18587775361670383,0.028497458493577005,0.31999818346853826,0.5999999816655435,0.0013572359711589432,0.9999999999999999
5.076,0.19725978955023635,0.032297915891714005,0.33999806924852877,0.59999997231474,0.0013572359605524553,0.9999999999999999
5.096,0.2085635453640335,0.03632523766823552,0.35999795502851933,0.5999999904024105,0.0013572359810036239,0.9999999999999999
5.116,0.21978450007316125,0.0405778128818697,0.37999784080850973,0.6000000353951112,0.0013572360319043797,0.9999999999999999
5.136,0.2309181657976702,0.04505394054561329,0.3999977265884999,0.599999995111458,0.001357235986353067,0.9999999999999999
5.156,0.2419600884762795,0.049751829988408554,0.4199976123684904,0.6000000171655301,0.0013572360113202064,0.9999999999999999
5.176,0.25290585215625944,0.05466960228967087,0.43999749814848077,0.6000000064955312,0.0012143690521483619,0.894736842105263
5.196,0.2637523420895008,0.059802728200727046,0.4578921330092688,0.6000000144928521,0.0012143671557823255,0.894736842105263
5.216,0.2745052470698152,0.06512911653190305,0.47578676815239196,0.6000000208594409,0.0012143671491474661,0.894736842105263
5.236,0.2851611218089059,0.07064706122102261,0.4936814032957237,0.5999999881498729,0.001357233835242777,0.9999999999999999
5.256,0.2957151543681752,0.07635728607125053,0.5136812893580788,0.599999993512882,0.001357235969781434,0.9999999999999999
5.276,0.30615287794180146,0.08227743372403626,0.5336811751382738,0.5999999956005115,0.001214369041037222,0.894736842105263
5.296,0.31647161791187634,0.08840270337544165,0.5515758099990616,0.5999999833347682,0.0012143671241722775,0.894736842105263
5.316,0.32667910354192686,0.09471163417416827,0.569470445142185,0.6000000350385324,0.0012143671634503028,0.894736842105263
5.336,0.3367720654938454,0.10120220444944686,0.5873650802855165,0.6000000362229216,0.0012143671645624687,0.894736842105263
5.356,0.3467472714747462,0.10787233558616165,0.6052597154288486,0.6000000331979451,0.001214367161512353,0.894736842105263
5.376,0.3566015272283242,0.11471989183321961,0.6231543505721807,0.600000008022441,0.0010715004143370677,0.7894736842105262
5.396,0.3663333819836958,0.12174038745334384,0.6389437346312572,0.5999999746887507,0.001071498890832856,0.7894736842105262
5.416,0.3759531801501979,0.1289136625838607,0.654733118971883,0.5999999786024811,0.0010714988840573314,0.7894736842105262
5.436,0.3854585222209307,0.13623792816027705,0.6705225033127179,0.6000000172350523,0.0010714989184719137,0.7894736842105262
5.456,0.39484703896888795,0.14371135820687514,0.6863118876535529,0.6000000020500909,0.0010714989048832835,0.7894736842105262
5.476,0.4041163891383522,0.1513320896145097,0.7021012719943877,0.5999999931182296,0.0010714988969245942,0.7894736842105262
5.496,0.41326426229494523,0.15909822213425592,0.7178906563352225,0.6000000098257678,0.0010714989118633667,0.7894736842105262
5.516,0.4222883781094306,0.16700781980887922,0.7336800406760581,0.6000000003120944,0.001071498903350121,0.7894736842105262
5.536,0.4311864863568477,0.17505891097384496,0.7494694250168928,0.5999999985553448,0.001071498901794088,0.7894736842105262
5.556,0.4399563690613925,0.1832494882583142,0.765258809357728,0.6000000060664692,0.0010714989084920634,0.7894736842105262
5.5760000000000005,0.4485958397802646,0.19157751001663756,0.7810481936985629,0.6000000049067069,0.0009286323866232737,0.6842105263157894
5.596,0.45710478505425944,0.20003889921539772,0.7947323268094942,0.6000000110953763,0.0009286312586375134,0.6842105263157894
5.616,0.4654971514416561,0.20861593158374733,0.8084164602012978,0.6000000001751855,0.0009286312424269805,0.6842105263157894
5.636,0.47377136660124153,0.21730699935277895,0.822100593593309,0.599999973252711,0.0010714975631713197,0.7894736842105262
5.656,0.48192376055130826,0.2261123900579724,0.8378899782150843,0.6000000029456003,0.0010714988967008288,0.7894736842105262
5.676,0.4899361115571364,0.23504539803853194,0.8536793625561242,0.6000000299791756,0.0010714989297774813,0.7894736842105262
5.696,0.49780642285047483,0.24410379781960018,0.8694687468969594,0.6000000180149201,0.0010714989191538682,0.7894736842105262
5.716,0.5055327322550305,0.25328533072885634,0.8852581312377944,0.6000000066275878,0.0010714989090219729,0.7894736842105262
5.736,0.5131131141194862,0.2625877073942725,0.9010475155786297,0.599999981339805,0.0010714988864072295,0.7894736842105262
5.756,0.5205456778933981,0.272008609183559,0.916836899919465,0.5999999799039689,0.0010714988851105445,0.7894736842105262
5.776,0.527828570987241,0.2815456874898147,0.9326262842603,0.599999972909252,0.000785765844739772,0.5789473684210525
5.796,0.5349646120466747,0.2911932209188328,0.9442051660149439,0.6000000173574951,0.0007857640938184751,0.5789473684210525
5.816,0.5419884722099764,0.3009227355860088,0.9557840483309,0.5999999603276076,0.0007857640442656133,0.5789473684210525
5.836,0.5488992069789678,0.31073292411718634,0.9673629306472723,0.5999999620285781,0.0007857640452564874,0.5789473684210525
5.856,0.5556958896672126,0.3206224720805233,0.9789418129636455,0.6000000248573678,0.0007857640864126769,0.5789473684210525
5.876,0.5623776100652487,0.33059005363669813,0.9905206952800185,0.5999999870287944,0.0007857640616104056,0.5789473684210525
5.896,0.5689434708519269,0.34063433223794254,1.002099577596391,0.6000000039961899,0.0007857640727171877,0.5789473684210525
5.916,0.5753925926008682,0.3507539613433108,1.0136784599127637,0.6000000271185089,0.0007857640879008754,0.5789473684210525
5.936,0.5817241116344553,0.36094758370357743,1.0252573422291367,0.5999999952796868,0.0006428978731101154,0.4736842105263157
5.956,0.5879396351624656,0.371212375054119,1.0347309730825236,0.5999999995881485,0.0006428973152403095,0.4736842105263157
5.976,0.5940576364801048,0.3815355898306215,1.044204604215752,0.5999999881949297,0.0006428973053214104,0.4736842105263157
5.996,0.6000775672335713,0.39191629956615276,1.053678235349184,0.6000000047729583,0.0006428973141422989,0.4736842105263157
6.016,0.6059988855399653,0.4023535738462059,1.0631518664826165,0.6000000179763135,0.0006428973212333489,0.4736842105263157
6.036,0.6118210613276506,0.4128464751199642,1.0726254976160483,0.6000000313701629,0.0006428973283909012,0.4736842105263157
6.056,0.6175435709676412,0.42339406226994336,1.0820991287494797,0.600000014974863,0.0006428973196281329,0.4736842105263157
6.076,0.6231659019226382,0.43399538775096036,1.0915727598829124,0.5999999920086714,0.000642897307320256,0.4736842105263157
6.096,0.6286875488130336,0.444649500451209,1.1010463910163446,0.6000000176304423,0.0006428973210196587,0.4736842105263157
6.116,0.6341080155625821,0.45535544497704655,1.1105200221497769,0.6000000242521984,0.0006428973245908853,0.4736842105263157
6.136,0.6394268171864526,0.46611225950727786,1.1199936532832089,0.5999999800466406,0.0006428973009005856,0.4736842105263157
6.156,0.6446434751419736,0.4769189786542243,1.1294672844166407,0.6000000032673157,0.0006428973133592308,0.4736842105263157
6.176,0.649757522335325,0.48777463274851224,1.1389409155500738,0.6000000006411941,0.0006428973119322889,0.4736842105263157
6.196,0.6547684984722897,0.4986782478391182,1.1484145466835063,0.6000000320697413,0.0006428973287963269,0.4736842105263157
6.216,0.6596759554225687,0.5096288449781579,1.1578881778169383,0.6000000240423174,0.0006428973244763103,0.4736842105263157
6.236,0.6644794511400238,0.52062544165144,1.1673618089503703,0.6000000358867624,0.0005000312573447407,0.36842105263157887
6.256,0.6691811914174284,0.5316659507025531,1.1747301885333838,0.6000000074096737,0.0005000308969445311,0.36842105263157887
6.276,0.6738014551144952,0.5427408042381552,1.1820985683958853,0.6000000255033738,0.0005000309020776195,0.36842105263157887
6.296,0.6783399897282258,0.5538494011581283,1.189466948258587,0.6000000193752374,0.0005000308995144198,0.36842105263157887
6.316,0.682796550068918,0.5649911375768663,1.1968353281212896,0.5999999756620391,0.0005000308813123411,0.36842105263157887
6.336,0.687170894169555,0.5761654081877561,1.2042037079839916,0.6000000148178606,0.0005000308976124135,0.36842105263157887
