t,x,y,yaw,vx_body,vy_body,wz
4.417,2.2184016696008037e-06,8.126256454180423e-09,8.29378920102628e-09,0.0,0.0,0.0
4.437,2.21840166960037e-06,8.126263942309353e-09,8.299306273068725e-09,0.0,0.0,0.0
4.457,2.21840166960037e-06,8.12627143044265e-09,8.304823345102741e-09,0.0,0.0,0.0
4.477,2.21840166960037e-06,8.126278917951785e-09,8.310340418200992e-09,0.0,0.0,0.0
4.497,2.21840166960037e-06,8.126286406074045e-09,8.315857490274095e-09,0.0,0.0,0.0
4.517,2.21840166960037e-06,8.12629389359027e-09,8.321374563334456e-09,0.0,0.0,0.0
4.537,2.21840166960037e-06,8.12630138170303e-09,8.326891635408291e-09,2.477301575744119e-10,0.0009286278005115585,0.6842105263157894
4.557,2.0963455921799157e-06,1.8578982467562146e-05,0.01368414353567782,9.906981464083761e-10,0.0009286312077401084,0.6842105263157894
4.577,1.7152060153345725e-06,3.71474455322143e-05,0.027368276928934506,1.4505760194836385e-09,0.0013572302670067451,0.9999999999999999
4.597,7.068423282013871e-07,6.427226432769367e-05,0.04736816355339126,1.9536449737822406e-09,0.0013572359841528222,0.9999999999999999
4.617,-8.494321049393183e-07,9.13717258021655e-05,0.06736804933398666,1.9551693635546383e-09,0.0013572359871889218,0.9999999999999999
4.6370000000000005,-2.947383860703095e-06,0.00011843464211358978,0.08736793511397804,1.959251298377343e-09,0.0013572359813563421,0.9999999999999999
4.657,-5.586135526030418e-06,0.00014545019005714001,0.10736782089396849,1.957180764542354e-09,0.0013572359739246914,0.9999999999999999
4.677,-8.764631321872898e-06,0.0001724075639188378,0.12736770667395889,1.7405816164740243e-09,0.001214369017326052,0.894736842105263
4.697,-1.2067155616813643e-05,0.0001964690466714416,0.14526234153474682,1.5905448650049923e-09,0.0012143671579142314,0.894736842105263
4.7170000000000005,-1.579758361007163e-05,0.00022046772337897265,0.1631569766778699,1.5845682396688644e-09,0.0012143671631699633,0.894736842105263
4.737,-1.99568246796308e-05,0.000244395808944546,0.18105161182120164,1.6020713505273364e-09,0.0012143671028869295,0.894736842105263
4.757,-2.454356122262016e-05,0.0002682456394037914,0.19894624696453375,1.6082040508590568e-09,0.0012143671449805675,0.894736842105263
4.777,-2.9556324643544712e-05,0.00029200957779654935,0.21684088210786584,1.5888453871798144e-09,0.0012143671269639748,0.894736842105263
4.797,-3.4993509809596755e-05,0.0003156800146856105,0.23473551725119796,1.602553369140728e-09,0.001214367146967694,0.894736842105263
4.817,-4.085337568287043e-05,0.00033924937057405497,0.2526301523945299,1.5825862314427022e-09,0.0012143671510403123,0.894736842105263
4.837,-4.713404587910401e-05,0.00036271009833205704,0.27052478753786185,1.6063110285262014e-09,0.0012143671439848493,0.894736842105263
4.857,-5.383350926852241e-05,0.00038605468561353983,0.28841942268119386,1.6098286388828431e-09,0.0012143671195747694,0.894736842105263
4.877,-6.094962061982639e-05,0.00040927565726170287,0.3063140578245258,1.5768790960490886e-09,0.0012143671078686427,0.894736842105263
4.897,-6.848010128711248e-05,0.00043236557770263506,0.3242086929678579,1.6076425474599414e-09,0.001214367127999821,0.894736842105263
4.917,-7.64225399395187e-05,0.0004553170533262566,0.34210332811119004,1.5862172212657497e-09,0.0012143671575189949,0.894736842105263
4.937,-8.47743933333543e-05,0.00047812273485382426,0.35999796325452227,1.4172218958281857e-09,0.0010715003980761092,0.7894736842105262
4.957,-9.24833649257994e-05,0.0004981179537273303,0.375787347313599,1.2839584960554554e-09,0.0010714989005976528,0.7894736842105262
4.977,-0.00010050526537743539,0.0005179894998429326,0.3915767316542251,1.266599915499423e-09,0.001071498927710965,0.7894736842105262
4.997,-0.0001088399004011717,0.0005377319181805471,0.4073661159950597,1.2892389361488822e-09,0.0010714989103354877,0.7894736842105262
5.017,-0.0001174852040927237,0.0005573402823865552,0.42315550033589444,1.2522902061032695e-09,0.001071498886495685,0.7894736842105262
5.037,-0.0001264390212829822,0.0005768097040646023,0.43894488467672943,1.5931769401997253e-09,0.001357231973257619,0.9999999999999999
5.057,-0.00013821616080765585,0.0006012654091753784,0.45894477102052345,1.9254483837405703e-09,0.001357235999073088,0.9999999999999999
5.077,-0.00015048375178713198,0.0006254792280788252,0.4789446568009206,1.9765605903301203e-09,0.0013572359838777829,0.9999999999999999
5.097,-0.00016323315506591002,0.0006494428579570612,0.49894454258091175,1.9752004952423505e-09,0.001357235962157107,0.9999999999999999
5.117,-0.00017645924669346526,0.0006731467256014278,0.5189444283609024,1.955865413095885e-09,0.0013572359746257482,0.9999999999999999
5.1370000000000005,-0.00019015673626467285,0.000696581349995477,0.5389443141408926,1.911959419780007e-09,0.0013572359805386473,0.9999999999999999
5.157,-0.00020432014502676753,0.0007197373577101363,0.5589441999208833,1.9687674149369144e-09,0.001357235987414405,0.9999999999999999
5.177,-0.00021894380786976792,0.0007426054867568643,0.5789440857008737,1.9808765424397107e-09,0.0013572360002695343,0.9999999999999999
5.197,-0.0002340218755903234,0.0007651765902934186,0.5989439714808641,1.8995378407151917e-09,0.001357235953559285,0.9999999999999999
5.217,-0.0002495483172312682,0.000787441640282446,0.6189438572608544,1.9913335696109674e-09,0.001357235974326421,0.9999999999999999
5.237,-0.0002655169224938939,0.0008093917311025315,0.6389437430408454,1.7342934744563054e-09,0.001214369020440125,0.894736842105263
5.257,-0.00028017598776442377,0.0008287559616415154,0.6568383779016332,1.5947361487996317e-09,0.0012143671692298654,0.894736842105263
5.277,-0.0002951774271187314,0.0008478559457782766,0.6747330130447565,1.6387862133938544e-09,0.0012143670911756083,0.894736842105263
5.297,-0.00031051822230014864,0.0008666844499225221,0.6926276481880883,1.5897181973589802e-09,0.0012143671391421271,0.894736842105263
5.317,-0.000326193472483198,0.0008852354363315612,0.7105222833314202,1.646106035009011e-09,0.001214367115819751,0.894736842105263
5.337,-0.00034219815840071804,0.0009035029647284329,0.7284169184747527,0.31578946565112465,0.0013572338295823883,0.9999999999999999
5.357,0.0043525587283871165,0.005127930586234722,0.7484168045371077,0.31578945515622736,0.0013572359353912489,0.9999999999999999
5.377,0.008961892549346392,0.009445400289727644,0.7684166903173025,0.2842105407662153,0.001357236023715458,0.9999999999999999
5.397,0.013029848625206696,0.013415241036868837,0.7884165760972933,0.2842105204938973,0.0013572359755931462,0.9999999999999999
5.417,0.01701760013103871,0.017465640746414886,0.8084164618772838,0.28421052788088547,0.0013572359931643407,0.9999999999999999
5.437,0.020923551955273935,0.021594979806008892,0.8284163476572741,0.5368421512523779,0.0013572360497648983,0.9999999999999999
5.457,0.02816194109107787,0.029524697297675942,0.8484162334372649,0.5368421219959134,0.001357236012849039,0.9999999999999999
5.477,0.0352402998635999,0.037597585725790146,0.8684161192172556,0.5684210656110427,0.0013572360072084955,0.9999999999999999
5.497,0.042563819265315814,0.046292505474328824,0.8884160049972464,0.5684210261026251,0.00135723596012699,0.9999999999999999
5.517,0.04971198843935504,0.05513214541728005,0.9084158907772368,0.5684210438320735,0.0013572359811858115,0.9999999999999999
5.537,0.05668194755362488,0.06411297115095346,0.9284157765572277,0.4421052405265661,0.0013572359563393255,0.9999999999999999
5.557,0.061957385659595694,0.07120863964012338,0.948415662337218,0.44210527518771936,0.0013572360095765457,0.9999999999999999
5.577,0.0670898659437929,0.07840839038414021,0.968415548117209,0.5999999795844977,-0.0013572359732030859,-1.0
5.597,0.07391134452255348,0.08828065701066679,0.9484156570004009,0.6000000149614074,-0.0013572360089030844,-1.0
5.617,0.08092889274547897,0.0980145279363192,0.928415771229655,0.5999999678720325,-0.0013572359556819347,-1.0
5.6370000000000005,0.08813970041581994,0.10760611110556274,0.9084158854623214,0.5999999890330903,-0.0005000343086158376,-0.368421052631579
5.657,0.09552750576562581,0.11706229023921358,0.9010475073095567,0.5999999801068494,-0.0005000309067109687,-0.368421052631579
5.677,0.10298479161406794,0.12646378465537295,0.8936791274588655,0.5999999988680258,-0.0005000308912014306,-0.368421052631579
